Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
No checking account,12,existing credits paid,furniture/equipment,1123,500-1000 DM,1-4 years,4,female:divorced/separated/married,none,4,car or other,29,none,rent,1,unskilled/resident,1,None,Yes,High
0 DM,48,critical account,used car,6331,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,46,none,free,2,skilled employee,1,yes,Yes,High
>200 DM,24,existing credits paid,radio/television,1377,100-500 DM,>7 years,4,female:divorced/separated/married,none,2,unknown/no property,47,none,free,1,skilled employee,1,yes,Yes,Low
0-200 DM,30,historical delay in payment,business,2503,100-500 DM,>7 years,4,male:single,none,2,building society savings agreement/ life insurance,41,stores,own,2,skilled employee,1,None,Yes,Low
0-200 DM,27,existing credits paid,business,2528,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,32,none,own,1,skilled employee,2,yes,Yes,Low
No checking account,15,existing credits paid,new car,5324,500-1000 DM,>7 years,1,female:divorced/separated/married,none,4,unknown/no property,35,none,free,1,skilled employee,1,None,Yes,Low
0-200 DM,48,existing credits paid,new car,6560,100-500 DM,4-7 years,3,male:single,none,2,building society savings agreement/ life insurance,24,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,12,none/all paid back,furniture/equipment,2969,< 100 DM,<1 year,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,25,none,rent,2,skilled employee,1,None,Yes,High
0-200 DM,9,existing credits paid,radio/television,1206,< 100 DM,>7 years,4,female:divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,9,existing credits paid,radio/television,2118,< 100 DM,1-4 years,2,male:single,none,2,real estate,37,none,own,1,unskilled/resident,2,None,Yes,Low
No checking account,18,critical account,radio/television,629,500-1000 DM,>7 years,4,male:single,none,3,building society savings agreement/ life insurance,32,bank,own,2,management/self employed,1,yes,Yes,Low
0 DM,6,all credits at this bank paid back,education,1198,< 100 DM,>7 years,4,female:divorced/separated/married,none,4,unknown/no property,35,none,free,1,skilled employee,1,None,Yes,High
No checking account,21,existing credits paid,used car,2476,no savings,>7 years,4,male:single,none,4,real estate,46,none,own,1,management/self employed,1,yes,Yes,Low
0 DM,9,critical account,radio/television,1138,< 100 DM,1-4 years,4,male:single,none,4,real estate,25,none,own,2,unskilled/resident,1,None,Yes,Low
0-200 DM,60,existing credits paid,new car,14027,< 100 DM,4-7 years,4,male:single,none,2,unknown/no property,27,none,own,1,management/self employed,1,yes,Yes,High
No checking account,30,critical account,used car,7596,no savings,>7 years,1,male:single,none,4,car or other,63,none,own,2,skilled employee,1,None,Yes,Low
No checking account,30,critical account,radio/television,3077,no savings,>7 years,3,male:single,none,2,car or other,40,none,own,2,skilled employee,2,yes,Yes,Low
No checking account,18,existing credits paid,radio/television,1505,< 100 DM,1-4 years,4,male:single,none,2,unknown/no property,32,none,free,1,management/self employed,1,yes,Yes,Low
>200 DM,24,critical account,radio/television,3148,no savings,1-4 years,3,male:single,none,2,car or other,31,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,20,none/all paid back,used car,6148,100-500 DM,>7 years,3,male:married,none,4,car or other,31,bank,own,2,skilled employee,1,yes,Yes,Low
>200 DM,9,none/all paid back,radio/television,1337,< 100 DM,<1 year,4,male:single,none,2,car or other,34,none,own,2,management/self employed,1,yes,Yes,High
0-200 DM,6,all credits at this bank paid back,education,433,>1000 DM,<1 year,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,24,bank,rent,1,skilled employee,2,None,Yes,High
0 DM,12,existing credits paid,new car,1228,< 100 DM,1-4 years,4,female:divorced/separated/married,none,2,real estate,24,none,own,1,unskilled/resident,1,None,Yes,High
0-200 DM,9,existing credits paid,radio/television,790,500-1000 DM,1-4 years,4,female:divorced/separated/married,none,3,real estate,66,none,own,1,unskilled/resident,1,None,Yes,Low
No checking account,27,existing credits paid,new car,2570,< 100 DM,1-4 years,3,female:divorced/separated/married,none,3,real estate,21,none,rent,1,skilled employee,1,None,Yes,High
No checking account,6,critical account,new car,250,>1000 DM,1-4 years,2,female:divorced/separated/married,none,2,real estate,41,bank,own,2,unskilled/resident,1,None,Yes,Low
No checking account,15,critical account,radio/television,1316,500-1000 DM,1-4 years,2,male:married,none,2,building society savings agreement/ life insurance,47,none,own,2,unskilled/resident,1,None,Yes,Low
0 DM,18,existing credits paid,radio/television,1882,< 100 DM,1-4 years,4,female:divorced/separated/married,none,4,car or other,25,bank,rent,2,skilled employee,1,None,Yes,High
0-200 DM,48,all credits at this bank paid back,business,6416,< 100 DM,>7 years,4,female:divorced/separated/married,none,3,unknown/no property,59,none,rent,1,skilled employee,1,None,Yes,High
>200 DM,24,critical account,business,1275,>1000 DM,1-4 years,2,male:divorced/separated,none,4,real estate,36,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,24,historical delay in payment,radio/television,6403,< 100 DM,<1 year,1,male:single,none,2,car or other,33,none,own,1,skilled employee,1,None,Yes,Low
0 DM,24,existing credits paid,radio/television,1987,< 100 DM,1-4 years,2,male:single,none,4,real estate,21,none,rent,1,unskilled/resident,2,None,Yes,High
0-200 DM,8,existing credits paid,radio/television,760,< 100 DM,4-7 years,4,female:divorced/separated/married,guarantor,2,real estate,44,none,own,1,unskilled/resident,1,None,Yes,Low
No checking account,24,existing credits paid,used car,2603,>1000 DM,1-4 years,2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee,1,yes,Yes,Low
No checking account,4,critical account,new car,3380,< 100 DM,4-7 years,1,female:divorced/separated/married,none,1,real estate,37,none,own,1,skilled employee,2,None,Yes,Low
0-200 DM,36,all credits at this bank paid back,domestic appliances,3990,no savings,<1 year,3,female:divorced/separated/married,none,2,unknown/no property,29,bank,own,1,Unemployed,1,None,Yes,Low
0-200 DM,24,existing credits paid,used car,11560,< 100 DM,1-4 years,1,female:divorced/separated/married,none,4,car or other,23,none,rent,2,management/self employed,1,None,Yes,High
0 DM,18,existing credits paid,new car,4380,100-500 DM,1-4 years,3,male:single,none,4,car or other,35,none,own,1,unskilled/resident,2,yes,Yes,Low
No checking account,6,critical account,new car,6761,< 100 DM,4-7 years,1,male:single,none,3,unknown/no property,45,none,own,2,management/self employed,2,yes,Yes,Low
0-200 DM,30,none/all paid back,business,4280,100-500 DM,1-4 years,4,female:divorced/separated/married,none,4,car or other,26,none,rent,2,unskilled/resident,1,None,Yes,High
0 DM,24,all credits at this bank paid back,new car,2325,100-500 DM,4-7 years,2,male:single,none,3,car or other,32,bank,own,1,skilled employee,1,None,Yes,Low
0-200 DM,10,all credits at this bank paid back,radio/television,1048,< 100 DM,1-4 years,4,male:single,none,4,real estate,23,stores,own,1,unskilled/resident,1,None,Yes,Low
No checking account,21,existing credits paid,radio/television,3160,no savings,>7 years,4,male:single,none,3,building society savings agreement/ life insurance,41,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,24,all credits at this bank paid back,furniture/equipment,2483,500-1000 DM,1-4 years,4,male:single,none,4,real estate,22,stores,own,1,skilled employee,1,yes,Yes,Low
0 DM,39,critical account,furniture/equipment,14179,no savings,4-7 years,4,male:single,none,4,building society savings agreement/ life insurance,30,none,own,2,management/self employed,1,yes,Yes,Low
0 DM,13,critical account,business,1797,< 100 DM,<1 year,3,male:single,none,1,building society savings agreement/ life insurance,28,bank,own,2,unskilled/resident,1,None,Yes,Low
0 DM,15,existing credits paid,new car,2511,< 100 DM,unemployed,1,female:divorced/separated/married,none,4,car or other,23,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,12,existing credits paid,new car,1274,< 100 DM,<1 year,3,female:divorced/separated/married,none,1,real estate,37,none,own,1,unskilled/resident,1,None,Yes,High
No checking account,21,existing credits paid,used car,5248,no savings,1-4 years,1,male:single,none,3,car or other,26,none,own,1,skilled employee,1,None,Yes,Low
No checking account,15,existing credits paid,used car,3029,< 100 DM,4-7 years,2,male:single,none,2,car or other,33,none,own,1,skilled employee,1,None,Yes,Low
0 DM,6,existing credits paid,furniture/equipment,428,< 100 DM,>7 years,2,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,49,bank,own,1,skilled employee,1,yes,Yes,Low
0 DM,18,existing credits paid,new car,976,< 100 DM,<1 year,1,female:divorced/separated/married,none,2,car or other,23,none,own,1,unskilled/resident,1,None,Yes,High
0-200 DM,12,existing credits paid,business,841,100-500 DM,4-7 years,2,female:divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled/resident,1,None,Yes,Low
No checking account,30,critical account,radio/television,5771,< 100 DM,4-7 years,4,female:divorced/separated/married,none,2,car or other,25,none,own,2,skilled employee,1,None,Yes,Low
No checking account,12,historical delay in payment,repairs,1555,>1000 DM,>7 years,4,male:single,none,4,unknown/no property,55,none,free,2,skilled employee,2,None,Yes,High
0 DM,24,existing credits paid,new car,1285,no savings,4-7 years,4,female:divorced/separated/married,none,4,unknown/no property,32,none,rent,1,skilled employee,1,None,Yes,High
>200 DM,6,critical account,new car,1299,< 100 DM,1-4 years,1,male:single,none,1,real estate,74,none,own,3,Unemployed,2,None,No,Low
>200 DM,15,critical account,radio/television,1271,no savings,1-4 years,3,male:single,none,4,unknown/no property,39,none,free,2,skilled employee,1,yes,Yes,High
No checking account,24,existing credits paid,new car,1393,< 100 DM,1-4 years,2,male:single,guarantor,2,real estate,31,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,12,critical account,new car,691,< 100 DM,>7 years,4,male:single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee,1,None,Yes,High
No checking account,15,critical account,new car,5045,no savings,>7 years,1,female:divorced/separated/married,none,4,car or other,59,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,18,critical account,furniture/equipment,2124,< 100 DM,1-4 years,4,female:divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee,1,None,Yes,High
0 DM,12,existing credits paid,radio/television,2214,< 100 DM,1-4 years,4,male:single,none,3,building society savings agreement/ life insurance,24,none,own,1,unskilled/resident,1,None,Yes,Low
No checking account,21,critical account,new car,12680,no savings,>7 years,4,male:single,none,4,unknown/no property,30,none,free,1,management/self employed,1,yes,Yes,High
No checking account,24,critical account,new car,2463,100-500 DM,4-7 years,4,male:married,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,12,existing credits paid,radio/television,1155,< 100 DM,>7 years,3,male:married,guarantor,3,real estate,40,bank,own,2,unskilled/resident,1,None,Yes,Low
0 DM,30,existing credits paid,furniture/equipment,3108,< 100 DM,<1 year,2,male:divorced/separated,none,4,building society savings agreement/ life insurance,31,none,own,1,unskilled/resident,1,None,Yes,High
No checking account,10,existing credits paid,used car,2901,no savings,<1 year,1,female:divorced/separated/married,none,4,real estate,31,none,rent,1,skilled employee,1,None,Yes,Low
0-200 DM,12,critical account,furniture/equipment,3617,< 100 DM,>7 years,1,male:single,none,4,car or other,28,none,rent,3,skilled employee,1,yes,Yes,Low
No checking account,12,critical account,radio/television,1655,< 100 DM,>7 years,2,male:single,none,4,real estate,63,none,own,2,unskilled/resident,1,yes,Yes,Low
0 DM,24,existing credits paid,used car,2812,no savings,>7 years,2,female:divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,36,critical account,education,8065,< 100 DM,1-4 years,3,female:divorced/separated/married,none,2,unknown/no property,25,none,own,2,management/self employed,1,yes,Yes,High
No checking account,21,critical account,used car,3275,< 100 DM,>7 years,1,male:single,none,4,car or other,36,none,own,1,management/self employed,1,yes,Yes,Low
No checking account,24,critical account,radio/television,2223,100-500 DM,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,52,bank,own,2,skilled employee,1,None,Yes,Low
>200 DM,12,critical account,new car,1480,500-1000 DM,unemployed,2,male:single,none,4,unknown/no property,66,bank,free,3,Unemployed,1,None,Yes,Low
0 DM,24,existing credits paid,new car,1371,no savings,1-4 years,4,female:divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee,1,None,Yes,High
No checking account,36,critical account,new car,3535,< 100 DM,4-7 years,4,male:single,none,4,car or other,37,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,18,existing credits paid,radio/television,3509,< 100 DM,4-7 years,4,female:divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee,1,None,Yes,Low
No checking account,36,critical account,used car,5711,>1000 DM,>7 years,4,male:single,none,2,car or other,38,none,own,2,management/self employed,1,yes,Yes,Low
0-200 DM,18,existing credits paid,repairs,3872,< 100 DM,unemployed,2,female:divorced/separated/married,none,4,car or other,67,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,39,critical account,radio/television,4933,< 100 DM,4-7 years,2,male:single,guarantor,2,real estate,25,none,own,2,skilled employee,1,None,Yes,High
No checking account,24,critical account,new car,1940,>1000 DM,>7 years,4,male:single,none,4,real estate,60,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,12,none/all paid back,retaining,1410,< 100 DM,1-4 years,2,male:single,none,2,real estate,31,none,own,1,unskilled/resident,1,yes,Yes,Low
0-200 DM,12,existing credits paid,new car,836,100-500 DM,<1 year,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,23,bank,own,1,unskilled/resident,1,None,Yes,High
0-200 DM,20,existing credits paid,used car,6468,no savings,unemployed,1,male:divorced/separated,none,4,real estate,60,none,own,1,management/self employed,1,yes,Yes,Low
0-200 DM,18,existing credits paid,business,1941,>1000 DM,1-4 years,4,male:single,none,2,building society savings agreement/ life insurance,35,none,own,1,unskilled/resident,1,yes,Yes,Low
No checking account,22,existing credits paid,radio/television,2675,500-1000 DM,>7 years,3,male:single,none,4,car or other,40,none,own,1,skilled employee,1,None,Yes,Low
No checking account,48,critical account,used car,2751,no savings,>7 years,4,male:single,none,3,car or other,38,none,own,2,skilled employee,2,yes,Yes,Low
0-200 DM,48,historical delay in payment,education,6224,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,50,none,free,1,skilled employee,1,None,Yes,High
0 DM,40,critical account,education,5998,< 100 DM,1-4 years,4,male:single,none,3,unknown/no property,27,bank,own,1,skilled employee,1,yes,Yes,High
0-200 DM,21,existing credits paid,business,1188,< 100 DM,>7 years,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,39,none,own,1,skilled employee,2,None,Yes,High
No checking account,24,existing credits paid,used car,6313,no savings,>7 years,3,male:single,none,4,car or other,41,none,own,1,management/self employed,2,yes,Yes,Low
No checking account,6,critical account,furniture/equipment,1221,no savings,1-4 years,1,male:married,none,2,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,None,Yes,Low
>200 DM,24,existing credits paid,furniture/equipment,2892,< 100 DM,>7 years,3,male:divorced/separated,none,4,unknown/no property,51,none,free,1,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,furniture/equipment,3062,500-1000 DM,>7 years,4,male:single,none,3,unknown/no property,32,none,rent,1,skilled employee,1,yes,Yes,Low
No checking account,9,existing credits paid,furniture/equipment,2301,100-500 DM,<1 year,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,18,existing credits paid,used car,7511,no savings,>7 years,1,male:single,none,4,building society savings agreement/ life insurance,51,none,free,1,skilled employee,2,yes,Yes,High
No checking account,12,critical account,furniture/equipment,1258,< 100 DM,<1 year,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,2,unskilled/resident,1,None,Yes,Low
No checking account,24,historical delay in payment,new car,717,no savings,>7 years,4,male:married,none,4,car or other,54,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,9,existing credits paid,new car,1549,no savings,<1 year,4,male:single,none,2,real estate,35,none,own,1,Unemployed,1,None,Yes,Low
No checking account,24,critical account,education,1597,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,54,none,free,2,skilled employee,2,None,Yes,Low
0-200 DM,18,critical account,radio/television,1795,< 100 DM,>7 years,3,female:divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled/resident,1,yes,Yes,Low
0 DM,20,critical account,furniture/equipment,4272,< 100 DM,>7 years,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,own,2,skilled employee,1,None,Yes,Low
No checking account,12,critical account,radio/television,976,no savings,>7 years,4,male:single,none,4,car or other,35,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,new car,7472,no savings,unemployed,1,female:divorced/separated/married,none,2,real estate,24,none,rent,1,Unemployed,1,None,Yes,Low
0 DM,36,existing credits paid,new car,9271,< 100 DM,4-7 years,2,male:single,none,1,car or other,24,none,own,1,skilled employee,1,yes,Yes,High
0-200 DM,6,existing credits paid,radio/television,590,< 100 DM,<1 year,3,male:married,none,3,real estate,26,none,own,1,unskilled/resident,1,None,No,Low
No checking account,12,critical account,radio/television,930,no savings,>7 years,4,male:single,none,4,real estate,65,none,own,4,skilled employee,1,None,Yes,Low
0-200 DM,42,all credits at this bank paid back,used car,9283,< 100 DM,unemployed,1,male:single,none,2,unknown/no property,55,bank,free,1,management/self employed,1,yes,Yes,Low
0-200 DM,15,none/all paid back,new car,1778,< 100 DM,<1 year,2,female:divorced/separated/married,none,1,real estate,26,none,rent,2,Unemployed,1,None,Yes,High
0-200 DM,8,existing credits paid,business,907,< 100 DM,<1 year,3,male:married,none,2,real estate,26,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,6,existing credits paid,radio/television,484,< 100 DM,4-7 years,3,male:married,guarantor,3,real estate,28,bank,own,1,unskilled/resident,1,None,Yes,Low
0 DM,36,critical account,used car,9629,< 100 DM,4-7 years,4,male:single,none,4,car or other,24,none,own,2,skilled employee,1,yes,Yes,High
0 DM,48,existing credits paid,domestic appliances,3051,< 100 DM,1-4 years,3,male:single,none,4,car or other,54,none,own,1,skilled employee,1,None,Yes,High
0 DM,48,existing credits paid,new car,3931,< 100 DM,4-7 years,4,male:single,none,4,unknown/no property,46,none,free,1,skilled employee,2,None,Yes,High
0-200 DM,36,historical delay in payment,new car,7432,< 100 DM,1-4 years,2,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,54,none,rent,1,skilled employee,1,None,Yes,Low
No checking account,6,existing credits paid,domestic appliances,1338,500-1000 DM,1-4 years,1,male:divorced/separated,none,4,real estate,62,none,own,1,skilled employee,1,None,Yes,Low
No checking account,6,critical account,radio/television,1554,< 100 DM,4-7 years,1,female:divorced/separated/married,none,2,car or other,24,none,rent,2,skilled employee,1,yes,Yes,Low
0 DM,36,existing credits paid,used car0,15857,< 100 DM,unemployed,2,male:divorced/separated,co-applicant,3,car or other,43,none,own,1,management/self employed,1,None,Yes,Low
0 DM,18,existing credits paid,radio/television,1345,< 100 DM,1-4 years,4,male:married,none,3,real estate,26,bank,own,1,skilled employee,1,None,Yes,High
No checking account,12,existing credits paid,new car,1101,< 100 DM,1-4 years,3,male:married,none,2,real estate,27,none,own,2,skilled employee,1,yes,Yes,Low
>200 DM,12,existing credits paid,radio/television,3016,< 100 DM,1-4 years,3,male:married,none,1,car or other,24,none,own,1,skilled employee,1,None,Yes,Low
0 DM,36,existing credits paid,furniture/equipment,2712,< 100 DM,>7 years,2,male:single,none,2,building society savings agreement/ life insurance,41,bank,own,1,skilled employee,2,None,Yes,High
0 DM,8,critical account,new car,731,< 100 DM,>7 years,4,male:single,none,4,real estate,47,none,own,2,unskilled/resident,1,None,Yes,Low
No checking account,18,critical account,furniture/equipment,3780,< 100 DM,<1 year,3,male:divorced/separated,none,2,car or other,35,none,own,2,management/self employed,1,yes,Yes,Low
0 DM,21,critical account,new car,1602,< 100 DM,>7 years,4,male:married,none,3,car or other,30,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,18,critical account,new car,3966,< 100 DM,>7 years,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee,1,yes,Yes,High
No checking account,18,none/all paid back,business,4165,< 100 DM,1-4 years,2,male:single,none,2,car or other,36,stores,own,2,skilled employee,2,None,Yes,High
0 DM,36,existing credits paid,used car,8335,no savings,>7 years,3,male:single,none,4,unknown/no property,47,none,free,1,skilled employee,1,None,Yes,High
0-200 DM,48,historical delay in payment,business,6681,no savings,1-4 years,4,male:single,none,4,unknown/no property,38,none,free,1,skilled employee,2,yes,Yes,Low
No checking account,24,historical delay in payment,business,2375,500-1000 DM,1-4 years,4,male:single,none,2,car or other,44,none,own,2,skilled employee,2,yes,Yes,Low
0 DM,18,existing credits paid,new car,1216,< 100 DM,<1 year,4,female:divorced/separated/married,none,3,car or other,23,none,rent,1,skilled employee,1,yes,Yes,High
0 DM,45,none/all paid back,business,11816,< 100 DM,>7 years,2,male:single,none,4,car or other,29,none,rent,2,skilled employee,1,None,Yes,High
0-200 DM,24,existing credits paid,radio/television,5084,no savings,>7 years,2,female:divorced/separated/married,none,4,car or other,42,none,own,1,skilled employee,1,yes,Yes,Low
>200 DM,15,existing credits paid,radio/television,2327,< 100 DM,<1 year,2,female:divorced/separated/married,none,3,real estate,25,none,own,1,unskilled/resident,1,None,Yes,High
0 DM,12,none/all paid back,new car,1082,< 100 DM,1-4 years,4,male:single,none,4,car or other,48,bank,own,2,skilled employee,1,None,Yes,High
No checking account,12,existing credits paid,radio/television,886,no savings,1-4 years,4,female:divorced/separated/married,none,2,car or other,21,none,own,1,skilled employee,1,None,Yes,Low
No checking account,4,existing credits paid,furniture/equipment,601,< 100 DM,<1 year,1,female:divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled/resident,2,None,Yes,Low
0 DM,24,critical account,used car,2957,< 100 DM,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,63,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,24,critical account,radio/television,2611,< 100 DM,>7 years,4,male:married,co-applicant,3,real estate,46,none,own,2,skilled employee,1,None,Yes,Low
0 DM,36,existing credits paid,furniture/equipment,5179,< 100 DM,4-7 years,4,male:single,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee,1,None,Yes,High
No checking account,21,historical delay in payment,used car,2993,< 100 DM,1-4 years,3,male:single,none,2,real estate,28,stores,own,2,unskilled/resident,1,None,Yes,Low
No checking account,18,existing credits paid,repairs,1943,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee,1,None,Yes,High
No checking account,24,all credits at this bank paid back,business,1559,< 100 DM,4-7 years,4,male:single,none,4,car or other,50,bank,own,1,skilled employee,1,yes,Yes,Low
No checking account,18,existing credits paid,furniture/equipment,3422,< 100 DM,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,47,bank,own,3,skilled employee,2,yes,Yes,Low
0-200 DM,21,existing credits paid,furniture/equipment,3976,no savings,4-7 years,2,male:single,none,3,car or other,35,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,18,existing credits paid,new car,6761,no savings,1-4 years,2,male:single,none,4,car or other,68,none,rent,2,skilled employee,1,None,Yes,High
No checking account,24,existing credits paid,new car,1249,< 100 DM,<1 year,4,male:married,none,2,real estate,28,none,own,1,skilled employee,1,None,Yes,Low
0 DM,9,existing credits paid,radio/television,1364,< 100 DM,4-7 years,3,male:single,none,4,real estate,59,none,own,1,skilled employee,1,None,Yes,Low
0 DM,12,existing credits paid,radio/television,709,< 100 DM,>7 years,4,male:single,none,4,real estate,57,stores,own,1,unskilled/resident,1,None,Yes,High
0 DM,20,critical account,new car,2235,< 100 DM,1-4 years,4,male:married,guarantor,2,building society savings agreement/ life insurance,33,bank,rent,2,skilled employee,1,None,No,High
No checking account,24,critical account,used car,4042,no savings,4-7 years,3,male:single,none,4,building society savings agreement/ life insurance,43,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,15,critical account,radio/television,1471,< 100 DM,1-4 years,4,male:single,none,4,unknown/no property,35,none,free,2,skilled employee,1,yes,Yes,Low
0 DM,18,all credits at this bank paid back,new car,1442,< 100 DM,4-7 years,4,male:single,none,4,unknown/no property,32,none,free,2,unskilled/resident,2,None,Yes,High
No checking account,36,historical delay in payment,new car,10875,< 100 DM,>7 years,2,male:single,none,2,car or other,45,none,own,2,skilled employee,2,yes,Yes,Low
No checking account,24,existing credits paid,new car,1474,100-500 DM,<1 year,4,male:married,none,3,real estate,33,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,10,existing credits paid,retaining,894,no savings,4-7 years,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,40,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,15,critical account,furniture/equipment,3343,< 100 DM,1-4 years,4,male:single,none,2,unknown/no property,28,none,free,1,skilled employee,1,yes,Yes,Low
0 DM,15,existing credits paid,new car,3959,< 100 DM,1-4 years,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee,1,yes,Yes,High
No checking account,9,existing credits paid,new car,3577,100-500 DM,1-4 years,1,male:single,guarantor,2,real estate,26,none,rent,1,skilled employee,2,None,No,Low
No checking account,24,critical account,used car,5804,>1000 DM,1-4 years,4,male:single,none,2,real estate,27,none,own,2,skilled employee,1,None,Yes,Low
No checking account,18,historical delay in payment,business,2169,< 100 DM,1-4 years,4,male:married,none,2,car or other,28,none,own,1,skilled employee,1,yes,Yes,High
0 DM,24,existing credits paid,radio/television,2439,< 100 DM,<1 year,4,female:divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee,1,yes,Yes,High
No checking account,27,critical account,furniture/equipment,4526,>1000 DM,<1 year,4,male:single,none,2,real estate,32,stores,own,2,unskilled/resident,2,yes,Yes,Low
No checking account,10,existing credits paid,furniture/equipment,2210,< 100 DM,1-4 years,2,male:single,none,2,real estate,25,bank,rent,1,unskilled/resident,1,None,Yes,High
No checking account,15,existing credits paid,furniture/equipment,2221,500-1000 DM,1-4 years,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee,1,None,Yes,Low
0 DM,18,existing credits paid,radio/television,2389,< 100 DM,<1 year,4,female:divorced/separated/married,none,1,car or other,27,stores,own,1,skilled employee,1,None,Yes,Low
No checking account,12,critical account,furniture/equipment,3331,< 100 DM,>7 years,2,male:single,none,4,building society savings agreement/ life insurance,42,stores,own,1,skilled employee,1,None,Yes,Low
No checking account,36,existing credits paid,business,7409,no savings,>7 years,3,male:single,none,2,building society savings agreement/ life insurance,37,none,own,2,skilled employee,1,None,Yes,Low
0 DM,12,existing credits paid,furniture/equipment,652,< 100 DM,>7 years,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee,1,None,Yes,Low
No checking account,36,historical delay in payment,furniture/equipment,7678,500-1000 DM,4-7 years,2,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee,1,yes,Yes,Low
>200 DM,6,critical account,new car,1343,< 100 DM,>7 years,1,male:single,none,4,real estate,46,none,own,2,skilled employee,2,None,No,Low
0 DM,24,critical account,business,1382,100-500 DM,4-7 years,4,male:single,none,1,real estate,26,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,15,existing credits paid,domestic appliances,874,no savings,<1 year,4,female:divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee,1,None,Yes,Low
0 DM,12,existing credits paid,furniture/equipment,3590,< 100 DM,1-4 years,2,male:single,co-applicant,2,building society savings agreement/ life insurance,29,none,own,1,unskilled/resident,2,None,Yes,Low
0-200 DM,11,critical account,new car,1322,>1000 DM,1-4 years,4,female:divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee,1,None,Yes,Low
